Student_ID,Gender,Study_Hours,Attendance,Assignment_Score,Math_Score,Science_Score,English_Score,Final_Score,Performance
1,Male,7,90.4,100.0,91.0,79.0,96.0,92.2,Excellent
2,Female,4,68.8,71.1,66.0,69.0,78.0,69.7,Good
3,Male,8,69.5,96.9,83.0,76.0,70.0,75.3,Very Good
4,Male,5,82.5,75.1,77.0,97.0,70.0,79.7,Very Good
5,Male,7,72.8,83.8,80.0,85.0,71.0,82.8,Very Good
6,Male,10,95.6,97.4,100.0,95.0,90.0,90.8,Excellent
7,Female,3,72.5,53.1,50.0,65.0,63.0,54.7,Average
8,Male,7,74.1,86.2,79.0,81.0,80.0,75.7,Very Good
9,Female,8,85.0,94.3,65.0,88.0,51.0,74.9,Good
10,Male,5,75.3,87.4,48.0,67.0,72.0,69.3,Good
11,Female,4,65.2,78.7,61.0,60.0,59.0,53.5,Average
12,Female,8,66.8,95.2,84.0,78.0,69.0,79.1,Very Good
13,Male,8,86.5,85.8,100.0,73.0,88.0,83.4,Very Good
14,Female,3,63.7,71.6,82.0,67.0,74.0,75.2,Very Good
15,Female,6,96.8,100.0,91.0,71.0,83.0,83.4,Very Good
16,Female,5,71.7,81.0,75.0,58.0,62.0,67.7,Good
17,Female,2,87.4,84.5,61.0,61.0,50.0,61.7,Good
18,Female,8,72.4,100.0,65.0,79.0,47.0,74.4,Good
19,Male,6,69.0,79.1,70.0,75.0,72.0,80.2,Very Good
20,Female,2,83.0,63.2,72.0,55.0,66.0,59.6,Average
21,Female,5,92.6,77.1,82.0,70.0,71.0,72.0,Good
22,Male,1,77.0,51.1,40.0,62.0,65.0,55.1,Average
23,Male,10,79.2,95.7,96.0,96.0,72.0,86.4,Very Good
24,Female,6,89.7,96.1,82.0,83.0,73.0,85.3,Very Good
25,Male,9,90.1,80.9,92.0,89.0,82.0,92.2,Excellent
26,Male,1,79.5,55.6,54.0,57.0,55.0,53.3,Average
27,Male,10,74.7,97.7,95.0,91.0,96.0,89.6,Very Good
28,Male,3,81.0,65.2,69.0,57.0,62.0,62.4,Good
29,Male,7,77.7,83.2,71.0,93.0,72.0,79.0,Very Good
30,Male,4,83.8,72.9,72.0,81.0,57.0,72.2,Good
31,Female,9,65.7,90.4,81.0,91.0,92.0,76.5,Very Good
32,Female,3,83.3,67.0,48.0,60.0,49.0,51.9,Average
33,Male,5,71.4,71.4,62.0,74.0,62.0,64.7,Good
